,배우코드,영화제목,개봉날짜,배우이름,감독,출연진,평점
77,go_ahseong,뷰티 인사이드,20143572,고아성,백종열,"['한효주', '김대명', '도지한', '배성우', '박신혜', '이범수', '박서준', '김상호', '천우희', '우에노 주리', '이재준', '김민재', '이현우', '조달환', '이진욱', '홍다미', '서강준', '김희원', '이동욱', '고아성', '김주혁', '유연석']",7.79
78,go_ahseong,뷰티 인사이드,20143572,고아성,백종열,"['한효주', '김대명', '도지한', '배성우', '박신혜', '이범수', '박서준', '김상호', '천우희', '우에노 주리', '이재준', '김민재', '이현우', '조달환', '이진욱', '홍다미', '서강준', '김희원', '이동욱', '고아성', '김주혁', '유연석']",7.79
79,chun_woohee,뷰티 인사이드,20143572,천우희,백종열,"['한효주', '김대명', '도지한', '배성우', '박신혜', '이범수', '박서준', '김상호', '천우희', '우에노 주리', '이재준', '김민재', '이현우', '조달환', '이진욱', '홍다미', '서강준', '김희원', '이동욱', '고아성', '김주혁', '유연석']",7.79
80,chun_woohee,뷰티 인사이드,20143572,천우희,백종열,"['한효주', '김대명', '도지한', '배성우', '박신혜', '이범수', '박서준', '김상호', '천우희', '우에노 주리', '이재준', '김민재', '이현우', '조달환', '이진욱', '홍다미', '서강준', '김희원', '이동욱', '고아성', '김주혁', '유연석']",7.79
81,go_ahseong,오피스,20143511,고아성,홍원찬,"['고아성', '박성웅']",6.37
82,go_ahseong,우아한 거짓말,20138226,고아성,이한,"['김희애', '고아성', '김유정', '김향기']",8.41
83,go_ahseong,우아한 거짓말,20138226,고아성,이한,"['김희애', '고아성', '김유정', '김향기']",8.41
84,chun_woohee,우아한 거짓말,20138226,천우희,이한,"['김희애', '고아성', '김유정', '김향기']",8.41
85,chun_woohee,우아한 거짓말,20138226,천우희,이한,"['김희애', '고아성', '김유정', '김향기']",8.41
86,go_ahseong,설국열차,20126674,고아성,봉준호,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
87,go_ahseong,설국열차,20126674,고아성,봉준호,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
88,song_kangho,설국열차,20126674,송강호,봉준호,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
89,song_kangho,설국열차,20126674,송강호,봉준호,"['크리스 에반스', '송강호', '에드 해리스', '존 허트', '틸다 스윈튼', '제이미 벨', '옥타비아 스펜서', '이완 브렘너', '알리슨 필', '고아성']",7.98
90,go_ahseong,결혼식 후에,20090804,고아성,김윤철,"['신성우', '예지원', '배수빈', '김보경', '이해영', '서유정', '윤희석', '차수연', '고아성']",6.63
91,go_ahseong,괴물,20060151,고아성,봉준호,"['송강호', '변희봉', '박해일', '배두나', '고아성']",8.63
92,song_kangho,괴물,20060151,송강호,봉준호,"['송강호', '변희봉', '박해일', '배두나', '고아성']",8.63
93,kim_yunseok,모가디슈,20204117,김윤석,류승완,"['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식']",8.34
94,kim_yunseok,모가디슈,20204117,김윤석,류승완,"['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식']",8.34
95,jo_inseong,모가디슈,20204117,조인성,류승완,"['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식']",8.34
96,jo_inseong,모가디슈,20204117,조인성,류승완,"['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식']",8.34
97,kim_yunseok,노량: 죽음의 바다,20203702,김윤석,김한민,"['김윤석', '백윤식', '정재영', '허준호']",0.0
98,kim_yunseok,바이러스(가제),20194912,김윤석,강이관,"['김윤석', '배두나']",10.0
99,son_seokgu,바이러스(가제),20194912,손석구,강이관,"['김윤석', '배두나']",10.0
100,kim_yunseok,미성년,20180825,김윤석,김윤석,"['염정아', '김소진', '김혜준', '박세진', '김윤석']",8.36
101,kim_yunseok,미성년,20180825,김윤석,김윤석,"['염정아', '김소진', '김혜준', '박세진', '김윤석']",8.36
102,kim_yunseok,미성년,20180825,김윤석,김윤석,"['염정아', '김소진', '김혜준', '박세진', '김윤석']",8.36
103,kim_yunseok,암수살인,20179189,김윤석,김태균,"['김윤석', '주지훈']",8.33
104,kim_yunseok,남한산성,20165450,김윤석,황동혁,"['이병헌', '김윤석', '박해일', '고수', '박희순']",8.11
105,kim_yunseok,남한산성,20165450,김윤석,황동혁,"['이병헌', '김윤석', '박해일', '고수', '박희순']",8.11
106,lee_byunghun,남한산성,20165450,이병헌,황동혁,"['이병헌', '김윤석', '박해일', '고수', '박희순']",8.11
107,lee_byunghun,남한산성,20165450,이병헌,황동혁,"['이병헌', '김윤석', '박해일', '고수', '박희순']",8.11
108,kim_yunseok,"당신, 거기 있어줄래요",20152371,김윤석,홍지영,"['김윤석', '변요한', '채서진']",8.73
109,kim_yunseok,극비수사,20148855,김윤석,곽경택,"['김윤석', '유해진']",8.09
110,kim_yunseok,극비수사,20148855,김윤석,곽경택,"['김윤석', '유해진']",8.09
111,yoo_haejin,극비수사,20148855,유해진,곽경택,"['김윤석', '유해진']",8.09
112,yoo_haejin,극비수사,20148855,유해진,곽경택,"['김윤석', '유해진']",8.09
113,kim_yunseok,쎄시봉,20148188,김윤석,김현석,"['정우', '김윤석', '한효주', '김희애', '진구', '장현성', '강하늘', '조복래']",6.18
114,kim_yunseok,쎄시봉,20148188,김윤석,김현석,"['정우', '김윤석', '한효주', '김희애', '진구', '장현성', '강하늘', '조복래']",6.18
115,park_sodam,쎄시봉,20148188,박소담,김현석,"['정우', '김윤석', '한효주', '김희애', '진구', '장현성', '강하늘', '조복래']",6.18
116,park_sodam,쎄시봉,20148188,박소담,김현석,"['정우', '김윤석', '한효주', '김희애', '진구', '장현성', '강하늘', '조복래']",6.18
117,kim_yunseok,타짜-신의 손,20134804,김윤석,강형철,"['T.O.P', '신세경', '곽도원', '이하늬']",7.25
118,yoo_haejin,타짜-신의 손,20134804,유해진,강형철,"['T.O.P', '신세경', '곽도원', '이하늬']",7.25
119,chun_woohee,타짜-신의 손,20134804,천우희,강형철,"['T.O.P', '신세경', '곽도원', '이하늬']",7.25
120,kim_yunseok,남쪽으로 튀어,20125990,김윤석,임순례,"['김윤석', '오연수', '한예리', '백승환', '박사랑']",7.81
121,kim_yunseok,남쪽으로 튀어,20125990,김윤석,임순례,"['김윤석', '오연수', '한예리', '백승환', '박사랑']",7.81
